iter	Passed	Remaining
0	67	339553
1	74	185208
2	80	134161
3	87	109620
4	95	95215
5	103	85892
6	110	79084
7	118	73913
8	127	70967
9	136	67946
10	144	65440
11	152	63366
12	160	61495
13	169	60280
14	177	58846
15	185	57631
16	193	56704
17	201	55773
18	210	55230
19	220	54803
20	228	54254
21	237	53793
22	246	53369
23	255	52895
24	261	52056
25	270	51728
26	277	51186
27	287	50975
28	295	50702
29	304	50502
30	313	50232
31	323	50208
32	334	50381
33	345	50414
34	356	50599
35	370	51036
36	384	51599
37	395	51592
38	406	51651
39	415	51541
40	428	51845
41	444	52414
42	455	52469
43	467	52603
44	475	52368
45	484	52200
46	494	52087
47	503	51987
48	512	51813
49	524	51900
50	535	51953
51	546	51963
52	565	52810
53	585	53662
54	621	55914
55	656	58003
56	680	59025
57	698	59499
58	708	59350
59	741	61088
60	779	63094
61	804	64112
62	825	64666
63	847	65381
64	883	67047
65	927	69341
66	964	71017
67	982	71258
68	1001	71589
69	1016	71586
70	1030	71510
71	1051	71970
72	1070	72231
73	1096	72960
74	1112	73055
75	1134	73532
76	1157	74018
77	1172	73966
78	1194	74404
79	1218	74920
80	1239	75283
81	1264	75841
82	1291	76506
83	1308	76601
84	1326	76681
85	1362	77839
86	1410	79630
87	1430	79853
88	1444	79690
89	1463	79843
90	1477	79723
91	1496	79844
92	1514	79888
93	1527	79713
94	1539	79480
95	1552	79284
96	1587	80242
97	1607	80432
98	1627	80558
99	1658	81286
100	1683	81635
101	1705	81901
102	1726	82070
103	1745	82161
104	1767	82409
105	1784	82386
106	1816	83076
107	1841	83391
108	1859	83446
109	1878	83515
110	1895	83482
111	1912	83477
112	1931	83542
113	1944	83357
114	1954	83030
115	1964	82702
116	1979	82602
117	1995	82571
118	2006	82307
119	2015	81943
120	2023	81602
121	2031	81220
122	2040	80902
123	2050	80614
124	2061	80394
125	2071	80126
126	2080	79823
127	2092	79631
128	2100	79317
129	2110	79070
130	2120	78830
131	2134	78730
132	2144	78490
133	2154	78242
134	2164	78018
135	2176	77830
136	2186	77600
137	2194	77318
138	2204	77077
139	2214	76860
140	2223	76635
141	2233	76422
142	2243	76212
143	2253	76001
144	2263	75794
145	2273	75590
146	2282	75340
147	2292	75144
148	2300	74885
149	2306	74570
150	2312	74263
151	2324	74138
152	2337	74063
153	2347	73873
154	2355	73641
155	2363	73378
156	2373	73201
157	2380	72965
158	2389	72756
159	2398	72551
160	2406	72342
161	2414	72105
162	2422	71878
163	2429	71654
164	2438	71448
165	2445	71212
166	2454	71046
167	2462	70839
168	2472	70670
169	2480	70473
170	2489	70312
171	2498	70138
172	2506	69940
173	2515	69768
174	2523	69569
175	2531	69399
176	2540	69220
177	2549	69053
178	2557	68871
179	2565	68710
180	2573	68530
181	2582	68353
182	2591	68205
183	2600	68063
184	2608	67882
185	2617	67739
186	2626	67597
187	2635	67449
188	2642	67268
189	2651	67118
190	2659	66956
191	2667	66810
192	2678	66703
193	2687	66568
194	2695	66408
195	2703	66261
196	2711	66103
197	2719	65953
198	2727	65798
199	2735	65663
200	2743	65514
201	2752	65383
202	2760	65241
203	2769	65102
204	2776	64942
205	2785	64817
206	2792	64660
207	2801	64539
208	2809	64403
209	2818	64277
210	2826	64150
211	2834	64016
212	2842	63884
213	2851	63782
214	2860	63668
215	2869	63551
216	2876	63405
217	2884	63275
218	2892	63147
219	2900	63022
220	2909	62906
221	2917	62787
222	2925	62675
223	2934	62561
224	2942	62445
225	2950	62316
226	2957	62188
227	2965	62062
228	2973	61959
229	2981	61827
230	2989	61710
231	2997	61596
232	3005	61485
233	3013	61374
234	3021	61257
235	3029	61159
236	3037	61041
237	3045	60934
238	3053	60818
239	3060	60709
240	3068	60588
241	3076	60480
242	3083	60370
243	3091	60259
244	3099	60147
245	3107	60057
246	3115	59950
247	3122	59839
248	3130	59736
249	3138	59638
250	3147	59551
251	3155	59458
252	3164	59370
253	3171	59266
254	3180	59178
255	3189	59106
256	3197	59017
257	3206	58926
258	3214	58835
259	3221	58737
260	3229	58644
261	3237	58547
262	3246	58468
263	3254	58375
264	3262	58289
265	3270	58213
266	3283	58206
267	3293	58155
268	3299	58034
269	3307	57947
270	3315	57862
271	3324	57782
272	3332	57694
273	3340	57622
274	3348	57539
275	3356	57456
276	3365	57383
277	3374	57315
278	3382	57237
279	3392	57187
280	3400	57107
281	3409	57036
282	3417	56960
283	3425	56888
284	3433	56798
285	3441	56729
286	3449	56650
287	3458	56588
288	3466	56510
289	3475	56451
290	3483	56365
291	3492	56311
292	3500	56228
293	3509	56178
294	3517	56108
295	3525	56031
296	3533	55957
297	3542	55898
298	3550	55815
299	3558	55753
300	3566	55681
301	3575	55623
302	3584	55566
303	3592	55498
304	3601	55440
305	3609	55375
306	3618	55307
307	3626	55239
308	3634	55172
309	3642	55114
310	3650	55046
311	3659	54985
312	3668	54929
313	3676	54866
314	3685	54811
315	3692	54735
316	3700	54669
317	3708	54602
318	3717	54549
319	3725	54485
320	3734	54430
321	3742	54363
322	3751	54323
323	3760	54270
324	3770	54241
325	3779	54188
326	3788	54134
327	3795	54063
328	3805	54022
329	3812	53958
330	3821	53908
331	3829	53844
332	3837	53787
333	3845	53728
334	3854	53679
335	3862	53608
336	3870	53552
337	3878	53496
338	3886	53436
339	3894	53373
340	3902	53312
341	3909	53241
342	3917	53185
343	3925	53125
344	3932	53066
345	3940	52999
346	3948	52948
347	3956	52895
348	3966	52860
349	3976	52834
350	3987	52810
351	3998	52800
352	4011	52803
353	4023	52805
354	4038	52841
355	4054	52884
356	4067	52900
357	4077	52867
358	4092	52905
359	4108	52951
360	4120	52945
361	4129	52911
362	4143	52934
363	4152	52886
364	4160	52835
365	4168	52773
366	4176	52720
367	4184	52665
368	4192	52614
369	4200	52561
370	4208	52504
371	4217	52465
372	4224	52400
373	4232	52353
374	4240	52294
375	4249	52261
376	4258	52215
377	4268	52192
378	4279	52179
379	4288	52138
380	4299	52119
381	4307	52079
382	4318	52055
383	4328	52030
384	4336	51983
385	4347	51966
386	4357	51935
387	4365	51892
388	4373	51835
389	4381	51794
390	4389	51736
391	4397	51698
392	4405	51647
393	4414	51602
394	4421	51546
395	4430	51505
396	4438	51456
397	4447	51424
398	4455	51374
399	4464	51340
400	4472	51292
401	4481	51255
402	4489	51208
403	4497	51169
404	4506	51127
405	4514	51082
406	4522	51041
407	4531	51006
408	4539	50960
409	4548	50917
410	4556	50877
411	4565	50836
412	4573	50790
413	4581	50745
414	4589	50704
415	4597	50658
416	4605	50612
417	4613	50575
418	4622	50537
419	4630	50490
420	4638	50451
421	4646	50410
422	4654	50365
423	4663	50329
424	4671	50289
425	4679	50248
426	4688	50209
427	4696	50167
428	4704	50123
429	4712	50087
430	4721	50052
431	4729	50009
432	4737	49969
433	4746	49932
434	4753	49886
435	4762	49850
436	4770	49807
437	4777	49758
438	4785	49715
439	4793	49679
440	4800	49631
441	4809	49600
442	4817	49556
443	4826	49529
444	4836	49501
445	4845	49476
446	4856	49462
447	4865	49433
448	4874	49404
449	4882	49364
450	4890	49328
451	4897	49281
452	4905	49242
453	4914	49206
454	4922	49170
455	4929	49126
456	4937	49083
457	4945	49047
458	4954	49013
459	4962	48977
460	4969	48931
461	4977	48887
462	4984	48841
463	4993	48811
464	5003	48796
465	5012	48769
466	5022	48746
467	5030	48715
468	5044	48733
469	5057	48741
470	5066	48721
471	5076	48695
472	5084	48666
473	5094	48649
474	5110	48685
475	5126	48719
476	5140	48742
477	5153	48757
478	5164	48745
479	5182	48798
480	5194	48806
481	5208	48820
482	5216	48787
483	5225	48753
484	5233	48718
485	5242	48688
486	5251	48668
487	5260	48638
488	5268	48604
489	5276	48568
490	5285	48534
491	5293	48502
492	5301	48469
493	5309	48432
494	5318	48400
495	5326	48364
496	5334	48331
497	5343	48302
498	5351	48274
499	5360	48240
500	5368	48213
501	5377	48184
502	5386	48153
503	5394	48125
504	5403	48094
505	5410	48056
506	5418	48022
507	5426	47982
508	5435	47954
509	5442	47918
510	5450	47883
511	5459	47851
512	5467	47822
513	5475	47787
514	5483	47753
515	5491	47718
516	5499	47685
517	5506	47648
518	5515	47616
519	5522	47577
520	5530	47547
521	5539	47521
522	5547	47484
523	5554	47450
524	5562	47414
525	5570	47381
526	5580	47364
527	5588	47331
528	5597	47310
529	5606	47284
530	5615	47259
531	5624	47234
532	5633	47210
533	5640	47175
534	5648	47142
535	5656	47109
536	5664	47078
537	5672	47046
538	5680	47016
539	5688	46985
540	5696	46953
541	5704	46919
542	5712	46888
543	5719	46850
544	5727	46820
545	5735	46786
546	5743	46753
547	5750	46720
548	5758	46684
549	5766	46655
550	5774	46625
551	5782	46598
552	5790	46562
553	5798	46533
554	5806	46506
555	5813	46462
556	5819	46418
557	5827	46391
558	5834	46354
559	5842	46324
560	5850	46293
561	5858	46265
562	5866	46234
563	5874	46203
564	5881	46169
565	5889	46138
566	5897	46111
567	5906	46088
568	5914	46061
569	5922	46029
570	5930	45999
571	5938	45968
572	5946	45940
573	5953	45909
574	5962	45885
575	5969	45850
576	5978	45828
577	5986	45797
578	5994	45767
579	6001	45734
580	6009	45703
581	6017	45677
582	6025	45652
583	6033	45620
584	6041	45592
585	6048	45559
586	6056	45531
587	6064	45505
588	6072	45477
589	6079	45443
590	6087	45411
591	6095	45384
592	6102	45351
593	6111	45332
594	6118	45298
595	6127	45276
596	6135	45248
597	6143	45225
598	6151	45195
599	6159	45172
600	6166	45139
601	6175	45113
602	6182	45080
603	6190	45055
604	6198	45029
605	6206	45001
606	6214	44972
